Time_s,CPU_Percent,Memory_MB,Method,Phase
0.003,0.0,303.42,Baseline,计算阶段
0.153,100.2,503.43,Baseline,计算阶段
0.204,0.0,503.43,Baseline,传输阶段
0.255,0.0,503.43,Baseline,传输阶段
0.306,0.0,503.43,Baseline,传输阶段
0.356,0.0,503.43,Baseline,传输阶段
0.407,0.0,503.43,Baseline,传输阶段
0.457,0.0,503.43,Baseline,传输阶段
0.508,0.0,503.43,Baseline,传输阶段
0.558,0.0,503.43,Baseline,传输阶段
0.609,0.0,503.43,Baseline,传输阶段
0.659,0.0,503.43,Baseline,传输阶段
0.71,0.0,503.43,Baseline,传输阶段
0.76,0.0,503.43,Baseline,传输阶段
0.811,0.0,503.43,Baseline,传输阶段
0.861,0.0,503.43,Baseline,传输阶段
0.911,0.0,503.43,Baseline,传输阶段
0.962,0.0,503.43,Baseline,传输阶段
1.012,0.0,503.43,Baseline,传输阶段
1.063,0.0,503.43,Baseline,传输阶段
1.114,0.0,503.43,Baseline,传输阶段
1.165,0.0,503.43,Baseline,传输阶段
1.215,0.0,503.43,Baseline,传输阶段
1.266,0.0,503.43,Baseline,传输阶段
1.316,0.0,503.43,Baseline,传输阶段
1.367,0.0,503.43,Baseline,传输阶段
1.417,0.0,503.43,Baseline,传输阶段
1.468,0.0,503.43,Baseline,传输阶段
1.518,0.0,503.43,Baseline,传输阶段
1.569,0.0,503.43,Baseline,传输阶段
1.619,0.0,503.43,Baseline,传输阶段
1.67,0.0,503.43,Baseline,传输阶段
1.72,0.0,503.43,Baseline,传输阶段
1.771,0.0,503.43,Baseline,传输阶段
1.821,0.0,503.43,Baseline,传输阶段
1.872,0.0,503.43,Baseline,传输阶段
1.922,0.0,503.43,Baseline,传输阶段
1.973,0.0,503.43,Baseline,传输阶段
2.023,0.0,503.43,Baseline,传输阶段
2.074,0.0,503.43,Baseline,传输阶段
2.124,0.0,503.43,Baseline,传输阶段
2.175,0.0,503.43,Baseline,传输阶段
2.226,0.0,503.43,Baseline,传输阶段
2.276,0.0,503.43,Baseline,传输阶段
2.327,0.0,503.43,Baseline,传输阶段
2.377,0.0,503.43,Baseline,传输阶段
2.428,0.0,503.43,Baseline,传输阶段
2.479,0.0,503.43,Baseline,传输阶段
2.529,0.0,503.43,Baseline,传输阶段
2.58,0.0,503.43,Baseline,传输阶段
2.63,0.0,503.43,Baseline,传输阶段
2.681,0.0,503.43,Baseline,传输阶段
2.731,0.0,503.43,Baseline,传输阶段
2.783,0.0,503.43,Baseline,传输阶段
2.833,0.0,503.43,Baseline,传输阶段
2.883,0.0,503.43,Baseline,传输阶段
2.934,0.0,503.43,Baseline,传输阶段
2.985,0.0,503.43,Baseline,传输阶段
3.035,0.0,503.43,Baseline,传输阶段
3.086,0.0,503.43,Baseline,传输阶段
3.136,0.0,503.43,Baseline,传输阶段
0.002,0.0,303.49,Proposed,计算阶段
0.058,133.0,317.07,Proposed,计算阶段
0.122,100.8,336.07,Proposed,计算阶段
0.185,99.2,352.25,Proposed,计算阶段
0.248,80.1,370.68,Proposed,计算阶段
0.311,100.8,386.06,Proposed,计算阶段
0.372,133.0,407.63,Proposed,计算阶段
0.435,99.2,431.82,Proposed,计算阶段
0.498,100.8,457.78,Proposed,计算阶段
0.549,74.4,483.54,Proposed,计算阶段
0.599,99.7,488.98,Proposed,计算阶段
0.65,101.9,497.36,Proposed,计算阶段
0.7,133.0,506.48,Proposed,计算阶段
0.751,74.4,516.0,Proposed,计算阶段
0.801,99.7,525.43,Proposed,计算阶段
0.852,99.7,531.07,Proposed,计算阶段
0.903,135.9,540.25,Proposed,计算阶段
0.953,74.4,550.29,Proposed,计算阶段
1.003,99.7,559.1,Proposed,计算阶段
1.054,99.7,569.02,Proposed,计算阶段
1.104,133.0,576.25,Proposed,计算阶段
1.155,75.6,585.82,Proposed,计算阶段
1.206,99.7,594.98,Proposed,计算阶段
1.256,99.7,604.9,Proposed,计算阶段
1.307,133.0,611.08,Proposed,计算阶段
1.357,99.7,617.51,Proposed,计算阶段
1.408,75.6,626.39,Proposed,计算阶段
1.458,99.7,636.35,Proposed,计算阶段
1.509,99.7,645.8,Proposed,计算阶段
1.559,133.0,655.68,Proposed,计算阶段
1.61,75.6,665.86,Proposed,计算阶段
1.661,99.7,671.91,Proposed,计算阶段
1.711,99.7,681.99,Proposed,计算阶段
1.762,133.0,687.43,Proposed,计算阶段
1.858,99.7,610.85,Proposed,计算阶段
1.908,0.0,610.85,Proposed,传输阶段
1.958,0.0,610.85,Proposed,传输阶段
2.009,0.0,610.85,Proposed,传输阶段
2.06,33.2,610.85,Proposed,传输阶段
2.11,0.0,610.85,Proposed,传输阶段
2.161,0.0,610.85,Proposed,传输阶段
2.212,0.0,610.85,Proposed,传输阶段
2.263,0.0,610.85,Proposed,传输阶段
2.313,0.0,610.85,Proposed,传输阶段
2.364,0.0,610.85,Proposed,传输阶段
2.414,0.0,610.85,Proposed,传输阶段
2.465,0.0,610.85,Proposed,传输阶段
2.515,0.0,610.85,Proposed,传输阶段
2.565,0.0,610.85,Proposed,传输阶段
2.616,0.0,610.85,Proposed,传输阶段
2.667,0.0,610.85,Proposed,传输阶段
2.717,0.0,610.85,Proposed,传输阶段
2.768,0.0,610.85,Proposed,传输阶段
2.818,0.0,610.85,Proposed,传输阶段
2.869,0.0,610.86,Proposed,传输阶段
2.919,0.0,610.86,Proposed,传输阶段
2.97,0.0,610.86,Proposed,传输阶段
3.021,0.0,610.86,Proposed,传输阶段
3.072,0.0,610.86,Proposed,传输阶段
3.122,0.0,610.86,Proposed,传输阶段
3.173,0.0,610.86,Proposed,传输阶段
3.224,0.0,610.86,Proposed,传输阶段
3.274,0.0,610.86,Proposed,传输阶段
3.325,0.0,610.86,Proposed,传输阶段
3.375,0.0,610.86,Proposed,传输阶段
3.426,0.0,610.86,Proposed,传输阶段
3.477,0.0,610.86,Proposed,传输阶段
3.527,0.0,610.86,Proposed,传输阶段
3.577,0.0,610.86,Proposed,传输阶段
3.628,0.0,610.86,Proposed,传输阶段
3.679,0.0,610.86,Proposed,传输阶段
3.729,0.0,610.86,Proposed,传输阶段
3.78,0.0,610.86,Proposed,传输阶段
3.83,0.0,610.86,Proposed,传输阶段
